0,1,2,3,4,5,6
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"622,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"635,000,000"
دنا،,1394,دنده ای-معمولی,"94,500 کیلومتر",دنده ای,خاکستری,"450,000,000"
دنا،,1395,دنده ای-معمولی,"180,000 کیلومتر",دنده ای,نوک مدادی,"450,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"620,000,000"
دنا،,1400,دنده ای ساده-پلاس,"14,000 کیلومتر",دنده ای,نوک مدادی,"600,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"775,000,000"
دنا،,1396,دنده ای-معمولی,"130,000 کیلومتر",دنده ای,سرمه ای,"455,000,000"
دنا،,1396,دنده ای-معمولی,"53,000 کیلومتر",دنده ای,سفید,"480,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"600,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"780,000,000"
دنا،,1397,دنده ای-معمولی,کارکرده,دنده ای,سفید,"470,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"645,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"618,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"710,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"760,000,000"
دنا،,1397,5 دنده توربو-پلاس,"68,000 کیلومتر",دنده ای,سفید,"585,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"625,000,000"
دنا،,1397,دنده ای-معمولی,"95,000 کیلومتر",دنده ای,سفید,"476,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"615,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"618,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"618,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"747,000,000"
دنا،,1400,دنده ای ساده-پلاس,"7,500 کیلومتر",دنده ای,مشکی,"610,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"775,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"635,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"711,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"776,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"611,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"20,000 کیلومتر",اتوماتیک,مشکی,"705,000,000"
دنا،,1401,6 دنده توربو-پلاس,500 کیلومتر,دنده ای,سفید,"765,000,000"
دنا،,1401,5 دنده توربو-پلاس,کارکرد صفر,دنده ای,مشکی,"620,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,خاکستری,"742,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"605,000,000"
دنا،,1399,دنده ای-معمولی,"32,000 کیلومتر",دنده ای,خاکستری,"500,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"760,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,مشکی,"720,000,000"
دنا،,1400,دنده ای-معمولی,"20,000 کیلومتر",دنده ای,سفید,"580,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"720,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"615,000,000"
دنا،,1397,دنده ای-معمولی,"95,000 کیلومتر",دنده ای,سفید,"472,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"736,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"743,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"9,986 کیلومتر",اتوماتیک,سفید,"737,000,000"
دنا،,1399,5 دنده توربو-پلاس,"25,000 کیلومتر",دنده ای,خاکستری,"640,000,000"
دنا،,1401,5 دنده توربو-پلاس,"21,000 کیلومتر",دنده ای,نقره ای,"640,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"745,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"800,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"765,000,000"
دنا،,1399,دنده ای ساده-پلاس,"55,000 کیلومتر",دنده ای,خاکستری,"580,000,000"
دنا،,1397,دنده ای ساده-پلاس,"102,000 کیلومتر",دنده ای,سفید,"566,500,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"770,000,000"
دنا،,1400,دنده ای ساده-پلاس,"24,000 کیلومتر",دنده ای,مشکی,"600,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"790,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"644,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"598,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"751,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,خاکستری,"770,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"615,000,000"
دنا،,1397,دنده ای-معمولی,"148,000 کیلومتر",دنده ای,سفید,"480,000,000"
دنا،,1394,دنده ای-معمولی,"176,000 کیلومتر",دنده ای,سفید,"430,000,000"
دنا،,1400,دنده ای-معمولی,"39,000 کیلومتر",دنده ای,سفید,"565,000,000"
دنا،,1398,دنده ای-معمولی,"105,000 کیلومتر",دنده ای,خاکستری,"498,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"25,000 کیلومتر",اتوماتیک,سفید,"725,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"589,000,000"
دنا،,1398,دنده ای-معمولی,"67,000 کیلومتر",دنده ای,سفید,"515,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"760,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"705,000,000"
دنا،,1399,دنده ای-معمولی,"28,000 کیلومتر",دنده ای,سفید,"530,000,000"
دنا،,1399,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,نقره ای,"625,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,خاکستری,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"4,700 کیلومتر",اتوماتیک,خاکستری,"730,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"710,000,000"
