0,1,2,3,4,5,6
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"472,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"562,000,000"
پژو،,1399,دوگانه سوز-پارس,"42,000 کیلومتر",دنده ای,سفید,"488,000,000"
پژو،,1399,XU7-پارس,"48,000 کیلومتر",دنده ای,خاکستری,"430,000,000"
پژو،,1401,XU7-پارس,"30,000 کیلومتر",دنده ای,سفید,"451,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"485,000,000"
پژو،,1396,XU7-پارس,"125,000 کیلومتر",دنده ای,خاکستری,"371,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"590,000,000"
پژو،,1397,LX-پارس,"139,000 کیلومتر",دنده ای,سفید,"450,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"478,000,000"
پژو،,1386,XU7-پارس,"300,000 کیلومتر",دنده ای,نقره ای,"242,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"478,000,000"
پژو،,1401,ELX-TU5-پارس,کارکرد صفر,دنده ای,سفید,"580,000,000"
پژو،,1399,LX-پارس,"19,000 کیلومتر",دنده ای,سفید,"520,000,000"
پژو،,1398,LX-پارس,"46,000 کیلومتر",دنده ای,سفید,"482,000,000"
پژو،,1400,XU7-پارس,"30,000 کیلومتر",دنده ای,سفید,"440,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,خاکستری,"485,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"570,000,000"
پژو،,1401,ELX-XU7P-پارس,کارکرد صفر,دنده ای,سفید,"525,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,مشکی,"570,000,000"
پژو،,1400,LX-پارس,کارکرد صفر,دنده ای,سفید,"530,000,000"
پژو،,1400,LX-پارس,کارکرد صفر,دنده ای,سفید,"538,000,000"
پژو،,1398,XU7-پارس,"54,000 کیلومتر",دنده ای,سفید,"405,000,000"
پژو،,1399,LX-پارس,"72,000 کیلومتر",دنده ای,مشکی,"440,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"461,000,000"
پژو،,1400,LX-پارس,"16,000 کیلومتر",دنده ای,سفید,"539,000,000"
پژو،,1399,LX-پارس,"13,000 کیلومتر",دنده ای,سفید,"505,000,000"
پژو،,1398,XU7-پارس,"43,400 کیلومتر",دنده ای,سفید,"410,000,000"
پژو،,1394,ELX-XUM-پارس,"70,000 کیلومتر",دنده ای,سفید,"375,000,000"
پژو،,1399,XU7-پارس,"52,000 کیلومتر",دنده ای,سفید,"435,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"469,000,000"
پژو،,1400,XU7-پارس,"19,000 کیلومتر",دنده ای,سفید,"440,000,000"
پژو،,1399,اتوماتیک-پارس,کارکرد صفر,اتوماتیک,مشکی,"625,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"560,000,000"
