0,1,2,3,4,5,6
پراید،,1390,SL-131,"150,000 کیلومتر",دنده ای,خاکستری,"168,000,000"
پراید،,1397,SE-131,"41,000 کیلومتر",دنده ای,سفید,"240,000,000"
پراید،,1399,SE-131,"26,000 کیلومتر",دنده ای,سفید,"275,000,000"
پراید،,1395,SE-111,"133,000 کیلومتر",دنده ای,سفید,"220,000,000"
پراید،,1399,SE-131,"55,000 کیلومتر",دنده ای,سفید,"256,000,000"
پراید،,1396,SE-111,"20,000 کیلومتر",دنده ای,سفید,"245,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"270,000,000"
پراید،,1395,SE-131,"150,000 کیلومتر",دنده ای,سفید,"215,000,000"
پراید،,1396,SE-131,"117,000 کیلومتر",دنده ای,سفید,"232,000,000"
پراید،,1393,SE-131,"168,000 کیلومتر",دنده ای,مشکی,"193,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"270,000,000"
پراید،,1392,SE-131,"300,000 کیلومتر",دنده ای,سفید,"168,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"263,000,000"
پراید،,1396,SE-131,"112,000 کیلومتر",دنده ای,نقره ای,"225,000,000"
پراید،,1388,دنده ای-صندوق,"20,000 کیلومتر",دنده ای,نوک مدادی,"125,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"268,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"258,000,000"
پراید،,1397,SE-111,"78,000 کیلومتر",دنده ای,سفید,"250,000,000"
پراید،,1401,SE-151,کارکرد صفر,دنده ای,سفید,"247,000,000"
پراید،,1397,SE-131,"165,000 کیلومتر",دنده ای,سفید,"230,000,000"
پراید،,1394,SE-111,"74,000 کیلومتر",دنده ای,سفید,"225,000,000"
پراید،,1398,SE-131,"57,500 کیلومتر",دنده ای,سفید,"247,500,000"
پراید،,1398,SE-131,"56,000 کیلومتر",دنده ای,سفید,"248,000,000"
پراید،,1398,SE-131,"29,000 کیلومتر",دنده ای,سفید,"257,000,000"
پراید،,1396,SE-131,"99,000 کیلومتر",دنده ای,سفید,"220,000,000"
پراید،,1398,SE-111,"21,000 کیلومتر",دنده ای,آبی,"270,000,000"
پراید،,1383,دنده ای-صندوق,"250,000 کیلومتر",دنده ای,نقره ای,"126,000,000"
پراید،,1396,SE-111,"112,000 کیلومتر",دنده ای,سفید,"241,000,000"
پراید،,1395,SE-131,"85,000 کیلومتر",دنده ای,سفید,"232,000,000"
پراید،,1398,SE-111,"4,000 کیلومتر",دنده ای,سفید,"285,000,000"
