0,1,2,3,4,5,6
کوییک،,1401,دنده ای-دنده,"6,000 کیلومتر",دنده ای,سفید,"320,000,000"
کوییک،,1400,دنده ای-دنده,"66,000 کیلومتر",دنده ای,سفید,"295,000,000"
کوییک،,1401,دنده ای-دنده,"15,500 کیلومتر",دنده ای,سفید,"316,000,000"
کوییک،,1400,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"303,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,کارکرد صفر,اتوماتیک,سفید,"425,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,نامشخص,"321,000,000"
کوییک،,1401,اتوماتیک-R,کارکرد صفر,اتوماتیک,سفید,"430,000,000"
کوییک،,1399,دنده ای-دنده,"45,000 کیلومتر",دنده ای,سفید,"290,000,000"
کوییک،,1397,اتوماتیک-اتوماتیک,"20,000 کیلومتر",اتوماتیک,سفید,"375,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"320,000,000"
کوییک،,1400,دنده ای-دنده,"1,000 کیلومتر",دنده ای,سفید,"300,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,"2,000 کیلومتر",اتوماتیک,سفید,"405,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"327,000,000"
کوییک،,1399,دنده ای-دنده,"27,000 کیلومتر",دنده ای,سفید,"293,000,000"
کوییک،,1399,دنده ای-دنده,"28,000 کیلومتر",دنده ای,سفید,"297,000,000"
کوییک،,1400,دنده ای-دنده,"30,000 کیلومتر",دنده ای,مشکی,"305,000,000"
کوییک،,1401,اتوماتیک-R,کارکرد صفر,اتوماتیک,سفید,"420,000,000"
کوییک،,1401,دنده ای-دنده,"11,000 کیلومتر",دنده ای,سفید,"308,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,کارکرد صفر,اتوماتیک,سفید,"415,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"332,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"330,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"335,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,کرم,"330,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"325,000,000"
کوییک،,1400,اتوماتیک-اتوماتیک,"7,000 کیلومتر",اتوماتیک,سفید,"390,000,000"
کوییک،,1400,دنده ای-دنده,"17,000 کیلومتر",دنده ای,سفید,"292,000,000"
کوییک،,1400,دنده ای-دنده,"15,000 کیلومتر",دنده ای,مشکی,"300,000,000"
کوییک،,1400,دنده ای-دنده,"16,000 کیلومتر",دنده ای,سفید,"305,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"315,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"300,000,000"
کوییک،,1400,دنده ای-دنده,"9,000 کیلومتر",دنده ای,سفید,"320,000,000"
کوییک،,1399,دنده ای-دنده,"60,000 کیلومتر",دنده ای,سفید,"290,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,مشکی,"318,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"325,000,000"
کوییک،,1398,دنده ای-دنده,"45,000 کیلومتر",دنده ای,سفید,"268,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"315,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"320,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,کارکرد صفر,اتوماتیک,سفید,"414,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,نقره ای,"330,000,000"
کوییک،,1400,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"311,000,000"
کوییک،,1401,دنده ای-دنده,"6,000 کیلومتر",دنده ای,سفید,"315,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"317,000,000"
کوییک،,1401,دنده ای-دنده,"5,000 کیلومتر",دنده ای,سفید,"312,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"323,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"304,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"325,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"326,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"329,000,000"
کوییک،,1401,اتوماتیک-R,کارکرد صفر,اتوماتیک,سفید,"415,000,000"
کوییک،,1400,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"309,000,000"
کوییک،,1399,دنده ای-دنده,"40,000 کیلومتر",دنده ای,سفید,"286,000,000"
کوییک،,1400,اتوماتیک-اتوماتیک,"4,300 کیلومتر",اتوماتیک,سفید,"355,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"320,000,000"
کوییک،,1398,دنده ای-دنده,"41,000 کیلومتر",دنده ای,سفید,"283,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,خاکستری,"310,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"310,000,000"
کوییک،,1400,دنده ای-دنده,"3,900 کیلومتر",دنده ای,سفید,"307,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,کارکرد صفر,اتوماتیک,سفید,"408,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"315,000,000"
کوییک،,1397,اتوماتیک-اتوماتیک,"42,000 کیلومتر",اتوماتیک,مشکی,"350,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"325,000,000"
کوییک،,1399,دنده ای-دنده,"10,000 کیلومتر",دنده ای,سفید,"295,000,000"
کوییک،,1401,دنده ای-دنده,"49,000 کیلومتر",دنده ای,سفید,"317,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"320,000,000"
کوییک،,1401,دنده ای-دنده,"6,000 کیلومتر",دنده ای,سفید,"305,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"320,000,000"
کوییک،,1401,دنده ای-دنده,"19,000 کیلومتر",دنده ای,سفید,"307,000,000"
کوییک،,1399,دنده ای-دنده,"37,000 کیلومتر",دنده ای,مشکی,"279,000,000"
کوییک،,1401,دنده ای-دنده,"9,500 کیلومتر",دنده ای,سفید,"310,000,000"
کوییک،,1399,دنده ای-دنده,"10,000 کیلومتر",دنده ای,سفید,"295,000,000"
کوییک،,1400,دنده ای-دنده,"28,000 کیلومتر",دنده ای,قرمز,"290,000,000"
کوییک،,1400,دنده ای-دنده,"18,500 کیلومتر",دنده ای,سفید,"310,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,مشکی,"330,000,000"
کوییک،,1401,دنده ای-دنده,"5,900 کیلومتر",دنده ای,سفید,"305,000,000"
کوییک،,1398,دنده ای-دنده,"63,000 کیلومتر",دنده ای,سفید,"285,000,000"
کوییک،,1401,دنده ای-دنده,کارکرد صفر,دنده ای,سفید,"318,000,000"
کوییک،,1401,دنده ای-دنده,"7,000 کیلومتر",دنده ای,بژ,"314,000,000"
کوییک،,1401,اتوماتیک-اتوماتیک,کارکرد صفر,اتوماتیک,سفید,"425,000,000"
