0,1,2,3,4,5,6
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید صدفی,"325,000,000"
ساینا،,1400,دنده ای-S,"14,000 کیلومتر",دنده ای,سفید,"300,000,000"
ساینا،,1399,دنده ای-EX,"46,000 کیلومتر",دنده ای,سفید,"290,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1399,دنده ای-EX,"14,000 کیلومتر",دنده ای,نوک مدادی,"295,000,000"
ساینا،,1396,دنده ای-EX,"133,000 کیلومتر",دنده ای,سفید,"257,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"307,000,000"
ساینا،,1401,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"307,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"305,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"322,000,000"
ساینا،,1401,دنده ای-EX,"7,600 کیلومتر",دنده ای,سفید,"304,000,000"
ساینا،,1401,دنده ای-EX,"1,700 کیلومتر",دنده ای,سفید,"311,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"322,000,000"
ساینا،,1400,دنده ای-EX,"30,000 کیلومتر",دنده ای,سفید,"295,000,000"
ساینا،,1398,دنده ای-EX,"53,000 کیلومتر",دنده ای,سفید,"282,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"325,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"321,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"328,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"322,000,000"
ساینا،,1401,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"323,500,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"326,000,000"
ساینا،,1397,دنده ای-EX,"80,000 کیلومتر",دنده ای,نوک مدادی,"235,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1398,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"280,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"322,000,000"
ساینا،,1398,دنده ای-EX,"75,000 کیلومتر",دنده ای,سفید,"270,000,000"
ساینا،,1400,دنده ای-EX,"32,000 کیلومتر",دنده ای,سفید,"289,000,000"
ساینا،,1399,دنده ای-EX,"35,300 کیلومتر",دنده ای,سفید,"286,800,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1399,دنده ای-EX,"36,000 کیلومتر",دنده ای,سفید,"283,000,000"
ساینا،,1401,دنده ای-EX,"8,000 کیلومتر",دنده ای,سفید,"308,000,000"
ساینا،,1400,دنده ای-EX,"28,000 کیلومتر",دنده ای,سفید,"289,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"317,000,000"
ساینا،,1400,دنده ای-EX,"13,700 کیلومتر",دنده ای,سفید,"294,000,000"
ساینا،,1399,دنده ای-EX,"35,000 کیلومتر",دنده ای,سفید,"290,000,000"
ساینا،,1398,دنده ای-EX,"40,000 کیلومتر",دنده ای,سفید,"267,000,000"
ساینا،,1401,دنده ای-EX,"11,500 کیلومتر",دنده ای,سفید,"315,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"317,000,000"
ساینا،,1400,دنده ای-EX,"35,000 کیلومتر",دنده ای,سفید,"286,000,000"
ساینا،,1398,دنده ای-EX,"120,000 کیلومتر",دنده ای,سفید,"268,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1399,دنده ای-پلاس,"28,000 کیلومتر",دنده ای,سفید,"300,000,000"
ساینا،,1400,دنده ای-EX,"15,000 کیلومتر",دنده ای,سفید,"292,000,000"
ساینا،,1400,دنده ای-EX,"45,000 کیلومتر",دنده ای,مشکی,"290,000,000"
ساینا،,1400,دنده ای-EX,"23,000 کیلومتر",دنده ای,سفید,"293,000,000"
ساینا،,1399,دنده ای-پلاس,"28,800 کیلومتر",دنده ای,سفید,"305,000,000"
ساینا،,1397,دنده ای-EX,"90,000 کیلومتر",دنده ای,سفید,"268,000,000"
ساینا،,1400,دنده ای-EX,"15,500 کیلومتر",دنده ای,سفید,"285,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"330,000,000"
ساینا،,1400,دنده ای-EX,"6,700 کیلومتر",دنده ای,سفید,"297,000,000"
ساینا،,1401,دنده ای-EX,"14,000 کیلومتر",دنده ای,سفید,"303,000,000"
ساینا،,1397,اتوماتیک-اتوماتیک,"39,000 کیلومتر",اتوماتیک,سفید,"350,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"325,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"316,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"318,000,000"
ساینا،,1401,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"310,000,000"
ساینا،,1400,دنده ای-EX,"45,000 کیلومتر",دنده ای,سفید,"296,000,000"
ساینا،,1401,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"310,000,000"
ساینا،,1400,دنده ای-EX,"23,000 کیلومتر",دنده ای,سفید,"302,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"316,000,000"
ساینا،,1401,دنده ای-S,"7,000 کیلومتر",دنده ای,سفید,"321,000,000"
ساینا،,1398,دنده ای-EX,"31,000 کیلومتر",دنده ای,سفید,"270,000,000"
ساینا،,1399,دنده ای-EX,"51,000 کیلومتر",دنده ای,آبی,"275,000,000"
ساینا،,1401,دنده ای-S,"3,000 کیلومتر",دنده ای,سفید,"300,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"322,000,000"
ساینا،,1401,دنده ای-EX,"10,000 کیلومتر",دنده ای,سفید,"310,000,000"
ساینا،,1401,دنده ای-EX,کارکرد صفر,دنده ای,سفید,"325,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"316,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"317,000,000"
ساینا،,1397,دنده ای-EX,"88,000 کیلومتر",دنده ای,سفید,"263,000,000"
ساینا،,1400,دنده ای-EX,"40,000 کیلومتر",دنده ای,سفید,"290,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"320,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"310,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"317,000,000"
ساینا،,1398,دنده ای-EX,"55,000 کیلومتر",دنده ای,سفید,"280,000,000"
ساینا،,1400,دنده ای-EX,"48,000 کیلومتر",دنده ای,سفید,"294,000,000"
ساینا،,1401,دنده ای-S,"7,000 کیلومتر",دنده ای,سفید,"310,000,000"
ساینا،,1399,دنده ای-EX,"38,000 کیلومتر",دنده ای,سفید,"284,000,000"
ساینا،,1401,دنده ای-EX,"1,840 کیلومتر",دنده ای,سفید,"310,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"315,000,000"
ساینا،,1395,دنده ای-EX,"100,000 کیلومتر",دنده ای,سفید,"235,000,000"
ساینا،,1400,دنده ای-EX,"12,000 کیلومتر",دنده ای,سفید,"298,000,000"
ساینا،,1398,دنده ای-EX,"70,000 کیلومتر",دنده ای,سفید,"280,000,000"
ساینا،,1401,دنده ای-EX,"2,200 کیلومتر",دنده ای,سفید,"305,000,000"
ساینا،,1401,دنده ای-EX,"14,000 کیلومتر",دنده ای,سفید,"298,000,000"
ساینا،,1398,دنده ای-EX,"77,000 کیلومتر",دنده ای,سفید,"275,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"315,000,000"
ساینا،,1398,دنده ای-EX,"13,500 کیلومتر",دنده ای,سفید,"275,000,000"
ساینا،,1400,دنده ای-EX,"16,000 کیلومتر",دنده ای,سفید,"292,000,000"
ساینا،,1400,دنده ای-پلاس,"32,000 کیلومتر",دنده ای,سفید,"307,000,000"
ساینا،,1397,اتوماتیک-اتوماتیک,"74,000 کیلومتر",اتوماتیک,سفید,"345,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"315,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"305,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"310,000,000"
ساینا،,1401,دنده ای-EX,"17,000 کیلومتر",دنده ای,سفید,"300,000,000"
ساینا،,1398,دنده ای-EX,"24,000 کیلومتر",دنده ای,سفید,"276,500,000"
ساینا،,1398,دنده ای-EX,"63,500 کیلومتر",دنده ای,سفید,"260,000,000"
ساینا،,1401,دنده ای-S,کارکرد صفر,دنده ای,سفید,"317,000,000"
ساینا،,1401,دنده ای-S,"11,000 کیلومتر",دنده ای,سفید,"290,000,000"
