0,1,2,3,4,5,6
سمند،,1393,ELX-سورن,"110,000 کیلومتر",دنده ای,مشکی,"290,000,000"
سمند،,1398,XU7-LX,"34,000 کیلومتر",دنده ای,سفید,"395,000,000"
سمند،,1398,XU7-LX,"60,000 کیلومتر",دنده ای,سفید,"360,000,000"
سمند،,1400,XU7-LX,"3,900 کیلومتر",دنده ای,سفید,"425,000,000"
سمند،,1395,XU7-LX,"207,000 کیلومتر",دنده ای,سفید,"305,000,000"
سمند،,1400,EF7-LX,"16,500 کیلومتر",دنده ای,سفید,"440,000,000"
سمند،,1394,XU7-LX,"74,000 کیلومتر",دنده ای,سفید,"320,000,000"
سمند،,1399,XU7-LX,"49,000 کیلومتر",دنده ای,سفید,"368,000,000"
سمند،,1395,EF7-LX,"85,000 کیلومتر",دنده ای,خاکستری,"310,000,000"
سمند،,1396,EF7-LX,"105,000 کیلومتر",دنده ای,سفید,"366,000,000"
سمند،,1400,XU7-LX,"40,000 کیلومتر",دنده ای,سفید,"395,000,000"
سمند،,1399,XU7-LX,"40,000 کیلومتر",دنده ای,سفید,"395,000,000"
سمند،,1398,XU7-LX,"43,000 کیلومتر",دنده ای,سفید,"388,000,000"
سمند،,1399,EF7-LX,"29,000 کیلومتر",دنده ای,آبی,"420,000,000"
سمند،,1395,XU7-LX,"130,000 کیلومتر",دنده ای,خاکستری,"313,000,000"
سمند،,1398,EF7 دوگانه سوز-LX,"10,000 کیلومتر",دنده ای,سفید,"470,000,000"
سمند،,1396,EF7-LX,"48,000 کیلومتر",دنده ای,سفید,"380,000,000"
سمند،,1399,XU7-LX,"37,000 کیلومتر",دنده ای,سفید,"382,000,000"
سمند،,1384,XU7-LX,"280,000 کیلومتر",دنده ای,نقره ای,"170,000,000"
سمند،,1400,پلاس بنزینی-سورن,کارکرد صفر,دنده ای,سفید,"455,000,000"
سمند،,1398,XU7-LX,"52,000 کیلومتر",دنده ای,سفید,"373,000,000"
سمند،,1394,EF7-LX,"110,000 کیلومتر",دنده ای,سفید,"325,000,000"
سمند،,1400,پلاس بنزینی-سورن,"7,000 کیلومتر",دنده ای,سفید,"480,000,000"
سمند،,1396,EF7-LX,"120,000 کیلومتر",دنده ای,سفید,"320,000,000"
سمند،,1395,ELX-سورن,"158,000 کیلومتر",دنده ای,سفید,"320,000,000"
سمند،,1399,XU7-LX,کارکرد صفر,دنده ای,سفید,"435,000,000"
سمند،,1401,EF7 دوگانه سوز-LX,کارکرد صفر,دنده ای,سفید,"514,000,000"
سمند،,1396,EF7 دوگانه سوز-LX,"130,000 کیلومتر",دنده ای,سفید,"375,000,000"
سمند،,1400,XU7-LX,کارکرد صفر,دنده ای,خاکستری,"430,000,000"
سمند،,1398,EF7 دوگانه سوز-LX,"108,000 کیلومتر",دنده ای,مشکی,"389,000,000"
سمند،,1397,EF7-LX,"110,000 کیلومتر",دنده ای,سفید,"360,000,000"
سمند،,1397,EF7 دوگانه سوز-LX,"99,000 کیلومتر",دنده ای,سفید,"385,000,000"
سمند،,1395,XU7-LX,"43,000 کیلومتر",دنده ای,سفید,"335,000,000"
سمند،,1398,XU7-LX,"45,000 کیلومتر",دنده ای,سفید,"360,000,000"
سمند،,1397,EF7 دوگانه سوز-LX,"128,000 کیلومتر",دنده ای,سفید,"389,000,000"
سمند،,1400,XU7-LX,"10,000 کیلومتر",دنده ای,سفید,"440,000,000"
سمند،,1399,XU7-LX,"12,000 کیلومتر",دنده ای,سفید,"395,000,000"
سمند،,1397,EF7-LX,"69,000 کیلومتر",دنده ای,سفید,"385,000,000"
سمند،,1399,XU7-LX,"45,000 کیلومتر",دنده ای,خاکستری,"370,000,000"
سمند،,1400,پلاس بنزینی-سورن,"20,000 کیلومتر",دنده ای,خاکستری,"470,000,000"
سمند،,1397,XU7-LX,"89,000 کیلومتر",دنده ای,خاکستری,"370,000,000"
سمند،,1399,EF7 دوگانه سوز-LX,"60,000 کیلومتر",دنده ای,سفید,"385,000,000"
سمند،,1399,پلاس بنزینی-سورن,"50,000 کیلومتر",دنده ای,سفید,"430,000,000"
سمند،,1400,EF7-LX,"2,000 کیلومتر",دنده ای,سرمه ای,"450,000,000"
سمند،,1396,ELX-سورن,"140,000 کیلومتر",دنده ای,سفید,"355,000,000"
سمند،,1393,EF7-LX,"141,000 کیلومتر",دنده ای,سفید,"305,000,000"
سمند،,1397,EF7-LX,"87,000 کیلومتر",دنده ای,سفید,"385,000,000"
سمند،,1398,XU7-LX,"47,000 کیلومتر",دنده ای,خاکستری,"370,000,000"
سمند،,1395,XU7-LX,"97,400 کیلومتر",دنده ای,خاکستری,"322,000,000"
سمند،,1398,XU7-LX,"32,000 کیلومتر",دنده ای,سفید,"370,000,000"
سمند،,1399,XU7-LX,"60,000 کیلومتر",دنده ای,سفید,"385,000,000"
