0,1,2,3,4,5,6
تیبا،,1399,SX بنزینی-صندوق,"29,000 کیلومتر",دنده ای,سفید,"288,000,000"
تیبا،,1401,SX بنزینی-صندوق,"20,500 کیلومتر",دنده ای,سفید,"290,000,000"
تیبا،,1400,SX بنزینی-صندوق,"1,300 کیلومتر",دنده ای,سفید,"300,000,000"
تیبا،,1400,EX-هاچ,"15,000 کیلومتر",دنده ای,سفید,"305,000,000"
تیبا،,1393,SX بنزینی-صندوق,"105,000 کیلومتر",دنده ای,سفید,"232,000,000"
تیبا،,1397,SX بنزینی-صندوق,"90,000 کیلومتر",دنده ای,سفید,"258,000,000"
تیبا،,1399,EX-هاچ,"6,500 کیلومتر",دنده ای,سفید,"293,000,000"
تیبا،,1395,EX-صندوق,"130,000 کیلومتر",دنده ای,سفید,"240,000,000"
تیبا،,1396,SX بنزینی-صندوق,"91,000 کیلومتر",دنده ای,سفید صدفی,"250,500,000"
تیبا،,1400,SX بنزینی-صندوق,"52,000 کیلومتر",دنده ای,سفید,"288,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,تیتانیوم,"312,000,000"
تیبا،,1397,EX-هاچ,"60,000 کیلومتر",دنده ای,سفید,"275,000,000"
تیبا،,1401,SX بنزینی-صندوق,"15,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1393,EX-صندوق,"95,000 کیلومتر",دنده ای,سفید,"195,000,000"
تیبا،,1400,EX-هاچ,"23,000 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1401,EX-هاچ,"21,000 کیلومتر",دنده ای,سفید,"312,000,000"
تیبا،,1394,EX-هاچ,"69,000 کیلومتر",دنده ای,سفید,"255,000,000"
تیبا،,1400,EX-هاچ,"19,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1400,SX بنزینی-صندوق,"29,000 کیلومتر",دنده ای,سفید,"291,000,000"
تیبا،,1398,EX-هاچ,"58,000 کیلومتر",دنده ای,سفید,"277,000,000"
تیبا،,1397,EX-هاچ,"28,000 کیلومتر",دنده ای,نوک مدادی,"280,000,000"
تیبا،,1400,EX-هاچ,"20,000 کیلومتر",دنده ای,سفید,"294,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"317,000,000"
تیبا،,1400,SX بنزینی-صندوق,"9,700 کیلومتر",دنده ای,سفید,"300,000,000"
تیبا،,1400,SX بنزینی-صندوق,"1,300 کیلومتر",دنده ای,سفید,"305,000,000"
تیبا،,1398,EX-هاچ,"83,000 کیلومتر",دنده ای,سفید,"279,000,000"
تیبا،,1396,EX-هاچ,"90,000 کیلومتر",دنده ای,سفید,"255,000,000"
تیبا،,1397,EX-هاچ,"96,000 کیلومتر",دنده ای,سفید,"267,000,000"
تیبا،,1397,EX-هاچ,"25,000 کیلومتر",دنده ای,نوک مدادی,"270,000,000"
تیبا،,1398,EX-هاچ,"49,000 کیلومتر",دنده ای,خاکستری,"290,000,000"
تیبا،,1397,SX دوگانه سوز-صندوق,"120,000 کیلومتر",دنده ای,سفید,"265,000,000"
تیبا،,1397,SX بنزینی-صندوق,"57,000 کیلومتر",دنده ای,سفید,"262,000,000"
تیبا،,1396,EX-هاچ,"88,000 کیلومتر",دنده ای,سفید,"270,000,000"
تیبا،,1395,EX-هاچ,"144,000 کیلومتر",دنده ای,سفید,"235,000,000"
تیبا،,1396,EX-هاچ,"114,000 کیلومتر",دنده ای,سفید,"260,000,000"
تیبا،,1394,EX-هاچ,"72,000 کیلومتر",دنده ای,نقره ای,"258,000,000"
تیبا،,1395,EX-هاچ,"37,000 کیلومتر",دنده ای,سفید,"265,000,000"
تیبا،,1397,SX بنزینی-صندوق,"40,000 کیلومتر",دنده ای,نقره ای,"235,000,000"
تیبا،,1397,EX-هاچ,"125,000 کیلومتر",دنده ای,سفید,"263,000,000"
تیبا،,1399,EX-هاچ,"42,000 کیلومتر",دنده ای,سفید,"292,000,000"
تیبا،,1400,SX بنزینی-صندوق,"24,100 کیلومتر",دنده ای,سفید,"289,000,000"
تیبا،,1399,SX بنزینی-صندوق,کارکرده,دنده ای,سفید,"295,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"315,000,000"
تیبا،,1399,EX-هاچ,"10,000 کیلومتر",دنده ای,سفید,"288,000,000"
تیبا،,1400,EX-هاچ,"33,000 کیلومتر",دنده ای,سفید,"298,000,000"
تیبا،,1397,SX بنزینی-صندوق,"100,000 کیلومتر",دنده ای,سفید,"265,000,000"
تیبا،,1400,SX بنزینی-صندوق,"17,800 کیلومتر",دنده ای,سفید,"298,000,000"
تیبا،,1399,EX-هاچ,"26,000 کیلومتر",دنده ای,مشکی,"289,000,000"
تیبا،,1400,EX-هاچ,"17,500 کیلومتر",دنده ای,سفید,"298,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"304,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"312,000,000"
تیبا،,1399,EX-هاچ,"27,000 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1400,SX بنزینی-صندوق,"14,000 کیلومتر",دنده ای,سفید,"290,000,000"
تیبا،,1398,SX بنزینی-صندوق,"1,325 کیلومتر",دنده ای,سفید,"292,000,000"
تیبا،,1400,SX بنزینی-صندوق,"28,000 کیلومتر",دنده ای,سفید,"290,000,000"
تیبا،,1401,EX-هاچ,"13,900 کیلومتر",دنده ای,سفید,"307,000,000"
تیبا،,1398,EX-هاچ,کارکرد صفر,دنده ای,سفید,"298,000,000"
تیبا،,1399,SX بنزینی-صندوق,کارکرد صفر,دنده ای,سفید,"300,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"320,000,000"
تیبا،,1396,SX بنزینی-صندوق,"96,000 کیلومتر",دنده ای,سفید,"253,000,000"
تیبا،,1392,SX بنزینی-صندوق,165 کیلومتر,دنده ای,نوک مدادی,"215,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"311,000,000"
تیبا،,1401,SX بنزینی-صندوق,"14,000 کیلومتر",دنده ای,سفید,"300,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"317,000,000"
تیبا،,1400,EX-هاچ,"1,700 کیلومتر",دنده ای,سفید,"307,000,000"
تیبا،,1398,EX-هاچ,"32,000 کیلومتر",دنده ای,مشکی,"282,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"306,000,000"
تیبا،,1395,EX-هاچ,"96,000 کیلومتر",دنده ای,سفید,"250,000,000"
تیبا،,1401,SX بنزینی-صندوق,"16,000 کیلومتر",دنده ای,سفید,"297,000,000"
تیبا،,1399,SX بنزینی-صندوق,"51,000 کیلومتر",دنده ای,سفید,"281,000,000"
تیبا،,1400,EX-هاچ,کارکرد صفر,دنده ای,سفید,"298,000,000"
تیبا،,1398,EX-هاچ,"18,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1400,SX بنزینی-صندوق,"5,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1395,EX-هاچ,"57,000 کیلومتر",دنده ای,آلبالویی,"255,000,000"
تیبا،,1399,EX-هاچ,کارکرد صفر,دنده ای,سفید,"292,800,000"
تیبا،,1400,EX-هاچ,"9,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1397,SX بنزینی-صندوق,"70,000 کیلومتر",دنده ای,سفید,"264,000,000"
تیبا،,1400,EX-هاچ,"42,000 کیلومتر",دنده ای,سفید,"290,000,000"
تیبا،,1400,EX-هاچ,"32,000 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1400,EX-هاچ,"19,000 کیلومتر",دنده ای,سفید,"296,000,000"
تیبا،,1393,SX بنزینی-صندوق,"88,000 کیلومتر",دنده ای,خاکستری,"235,000,000"
تیبا،,1400,SX بنزینی-صندوق,"2,300 کیلومتر",دنده ای,سفید,"305,000,000"
تیبا،,1397,EX-هاچ,"51,000 کیلومتر",دنده ای,سفید,"276,000,000"
تیبا،,1395,SX بنزینی-صندوق,"47,000 کیلومتر",دنده ای,سفید,"242,000,000"
تیبا،,1398,EX-هاچ,"90,000 کیلومتر",دنده ای,سفید,"272,500,000"
تیبا،,1396,SX بنزینی-صندوق,"55,000 کیلومتر",دنده ای,نوک مدادی,"260,000,000"
تیبا،,1400,EX-هاچ,"27,000 کیلومتر",دنده ای,نوک مدادی,"295,000,000"
تیبا،,1395,SX-هاچ,"98,000 کیلومتر",دنده ای,سفید,"255,000,000"
تیبا،,1400,EX-هاچ,"32,000 کیلومتر",دنده ای,سفید,"296,000,000"
تیبا،,1401,EX-هاچ,470 کیلومتر,دنده ای,سفید,"310,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"315,000,000"
تیبا،,1401,SX بنزینی-صندوق,کارکرد صفر,دنده ای,سفید,"312,000,000"
تیبا،,1399,SX بنزینی-صندوق,"25,000 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1396,EX-هاچ,"50,000 کیلومتر",دنده ای,سفید,"270,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"310,000,000"
تیبا،,1395,SX بنزینی-صندوق,"68,000 کیلومتر",دنده ای,سفید,"240,000,000"
