0,1,2,3,4,5,6
رنو،,1396,اتوماتیک-تندر,"145,000 کیلومتر",اتوماتیک,سفید,"600,000,000"
رنو،,1396,E2-تندر,"77,000 کیلومتر",دنده ای,سفید,"530,000,000"
رنو،,1396,E2-تندر,"240,000 کیلومتر",دنده ای,مشکی,"440,000,000"
رنو،,1395,اتوماتیک-تندر,"102,000 کیلومتر",اتوماتیک,سفید,"570,000,000"
رنو،,1396,پلاس اتوماتیک-تندر,"80,800 کیلومتر",اتوماتیک,سفید,"737,000,000"
رنو،,1397,پلاس اتوماتیک-تندر,"71,000 کیلومتر",اتوماتیک,سفید,"750,000,000"
رنو،,1394,اتوماتیک-تندر,"114,000 کیلومتر",اتوماتیک,سفید,"550,000,000"
رنو،,1387,E2-تندر,"157,600 کیلومتر",دنده ای,خاکستری,"280,000,000"
رنو،,1397,E2-تندر,"95,000 کیلومتر",دنده ای,سفید,"565,000,000"
رنو،,1394,E2-تندر,"112,000 کیلومتر",دنده ای,سفید,"445,000,000"
رنو،,1391,E2-تندر,"110,000 کیلومتر",دنده ای,سفید,"395,000,000"
رنو،,1391,E1-تندر,"160,000 کیلومتر",دنده ای,سفید,"370,000,000"
رنو،,1389,E2-تندر,"110,000 کیلومتر",دنده ای,مشکی,"315,000,000"
رنو،,1393,E2-تندر,"125,000 کیلومتر",دنده ای,سفید,"460,000,000"
رنو،,1397,پلاس اتوماتیک-تندر,"62,000 کیلومتر",اتوماتیک,سفید,"710,000,000"
رنو،,1391,E2-تندر,"170,000 کیلومتر",دنده ای,مشکی,"362,000,000"
رنو،,1396,پلاس اتوماتیک-تندر,"135,000 کیلومتر",اتوماتیک,سفید,"600,000,000"
رنو،,1394,اتوماتیک-تندر,"63,000 کیلومتر",اتوماتیک,سفید,"630,000,000"
رنو،,1397,E2-تندر,"76,000 کیلومتر",دنده ای,سفید,"534,000,000"
رنو،,1396,اتوماتیک-تندر,"28,000 کیلومتر",اتوماتیک,سفید,"750,000,000"
رنو،,1397,پلاس اتوماتیک-تندر,"52,000 کیلومتر",اتوماتیک,سفید,"725,000,000"
رنو،,1396,E2-تندر,"114,000 کیلومتر",دنده ای,سفید,"500,000,000"
رنو،,1396,پلاس اتوماتیک-تندر,"124,000 کیلومتر",اتوماتیک,سفید,"650,000,000"
رنو،,1395,E2-تندر,"81,000 کیلومتر",دنده ای,سفید,"470,000,000"
رنو،,1389,E2-تندر,"200,000 کیلومتر",دنده ای,نقره ای,"310,000,000"
رنو،,1396,اتوماتیک-تندر,"130,000 کیلومتر",اتوماتیک,مشکی,"600,000,000"
رنو،,1394,اتوماتیک-تندر,"174,000 کیلومتر",اتوماتیک,نقره ای,"470,000,000"
